"Z","AtomicRadius[A]","CovalentRadius[A]","AtomicMass","BoilingPoint[K]","MeltingPoint[K]","Density[g/ccm]","AtomicVolume","DebyeTemperature[K]","ThermalConductivity[W/cmK]"
1,0.79,0.32,1.00794,20.268,14.025,0.0899,14.4,-0.01,-0.01
2,0.49,0.93,4.002602,4.215,0.95,0.1787,0,-0.01,-0.01
3,2.05,1.23,6.941,1615,453.7,0.53,13.1,344,0.85
4,1.4,0.9,9.012182,2745,1560,1.85,5,1440,2
5,1.17,0.82,10.811,4275,2300,2.34,4.6,-0.01,0.27
6,0.91,0.77,12.011,4470,4100,2.26,4.58,2230,1.29
7,0.75,0.75,14.00674,77.35,63.14,1.251,17.3,-0.01,-0.01
8,0.65,0.73,15.9994,90.18,50.35,1.429,14,-0.01,-0.01
9,0.57,0.72,18.9984032,84.95,53.48,1.696,17.1,-0.01,-0.01
10,0.51,0.71,20.1797,27.096,24.553,0.901,16.7,74,-0.01
11,2.23,1.54,22.989768,1156,371,0.97,23.7,158,1.41
12,1.72,1.36,24.305,1363,922,1.74,13.97,400,1.56
13,1.82,1.18,26.981539,2793,933.25,2.7,10,428,2.37
14,1.46,1.11,28.0855,3540,1685,2.33,12.1,645,1.48
15,1.23,1.06,30.97362,550,317.3,1.82,17,-0.01,-0.01
16,1.09,1.02,32.066,717.75,388.36,2.07,15.5,-0.01,-0.01
17,0.97,0.99,35.4527,239.1,172.16,3.17,22.7,-0.01,-0.01
18,0.88,0.98,39.948,87.3,83.81,1.784,28.5,92,-0.01
19,2.77,2.03,39.0983,1032,336.35,0.86,45.46,91,1.02
20,2.23,1.91,40.078,1757,1112,1.55,29.9,230,-0.01
21,2.09,1.62,44.95591,3104,1812,3,15,360,0.16
22,2,1.45,47.88,3562,1943,4.5,10.64,420,0.22
23,1.92,1.34,50.9415,3682,2175,5.8,8.78,380,0.31
24,1.85,1.18,51.9961,2945,2130,7.19,7.23,630,0.94
25,1.79,1.17,54.93085,2335,1517,7.43,1.39,410,0.08
26,1.72,1.17,55.847,3135,1809,7.86,7.1,470,0.8
27,1.67,1.16,58.9332,3201,1768,8.9,6.7,445,1
28,1.62,1.15,58.69,3187,1726,8.9,6.59,450,0.91
29,1.57,1.17,63.546,2836,1357.6,8.96,7.1,343,4.01
30,1.53,1.25,65.39,1180,692.73,7.14,9.2,327,1.16
31,1.81,1.26,69.723,2478,302.9,5.91,11.8,320,0.41
32,1.52,1.22,72.61,3107,1210.4,5.32,13.6,374,0.6
33,1.33,1.2,74.92159,876,1081,5.72,13.1,282,0.5
34,1.22,1.16,78.96,958,494,4.8,16.45,90,0.02
35,1.12,1.14,79.904,332.25,265.9,3.12,23.5,-0.01,-0.01
36,1.03,1.12,83.8,119.8,115.78,3.74,38.9,72,-0.01
37,2.98,2.16,85.4678,961,312.64,1.53,55.9,56,0.58
38,2.45,1.91,87.62,1650,1041,2.6,33.7,147,-0.01
39,2.27,1.62,88.90585,3611,1799,4.5,19.8,280,0.17
40,2.16,1.45,91.224,4682,2125,6.49,14.1,291,0.23
41,2.09,1.34,92.90638,5017,2740,8.55,10.87,275,0.54
42,2.01,1.3,95.94,4912,2890,10.2,9.4,450,1.38
43,1.95,1.27,98.91,4538,2473,11.5,8.5,-0.01,0.51
44,1.89,1.25,101.07,4423,2523,12.2,8.3,600,1.17
45,1.83,1.25,102.9055,3970,2236,12.4,8.3,480,1.5
46,1.79,1.28,106.42,3237,1825,12,8.9,274,0.72
47,1.75,1.34,107.8682,2436,1234,10.5,10.3,225,4.29
48,1.71,1.48,112.411,1040,594.18,8.65,13.1,209,0.97
49,2,1.44,114.82,2346,429.76,7.31,15.7,108,0.82
50,1.72,1.41,118.71,2876,505.06,7.3,16.3,200,0.67
51,1.53,1.4,121.75,1860,904,6.68,18.23,211,0.24
52,1.42,1.36,127.6,1261,722.65,6.24,20.5,153,0.02
53,1.32,1.33,126.90447,458.4,386.7,4.92,25.74,-0.01,-0.01
54,1.24,1.31,131.29,165.03,161.36,5.89,37.3,64,-0.01
55,3.34,2.35,132.90543,944,301.55,1.87,71.07,38,0.36
56,2.78,1.98,137.327,2171,1002,3.5,39.24,110,-0.01
57,2.74,1.69,138.9055,3730,1193,6.7,20.73,142,0.14
58,2.7,1.65,140.115,3699,1071,6.78,20.67,-0.01,0.11
59,2.67,1.65,140.90765,3785,1204,6.77,20.8,-0.01,0.13
60,2.64,1.64,144.24,3341,1289,7,20.6,-0.01,0.16
61,2.62,1.63,145,3785,1204,6.475,22.39,-0.01,-0.01
62,2.59,1.62,150.36,2064,1345,7.54,19.95,-0.01,0.13
63,2.56,1.85,151.965,1870,1090,5.26,28.9,-0.01,-0.01
64,2.54,1.61,157.25,3539,1585,7.89,19.9,200,0.11
65,2.51,1.59,158.92534,3496,1630,8.27,19.2,-0.01,0.11
66,2.49,1.59,162.5,2835,1682,8.54,19,210,0.11
67,2.47,1.58,164.93032,2968,1743,8.8,18.7,-0.01,0.16
68,2.45,1.57,167.26,3136,1795,9.05,18.4,-0.01,0.14
69,2.42,1.56,168.93421,2220,1818,9.33,18.1,-0.01,0.17
70,2.4,1.74,173.04,1467,1097,6.98,24.79,120,0.35
71,2.25,1.56,174.967,3668,1936,9.84,17.78,210,0.16
72,2.16,1.44,178.49,4876,2500,13.1,13.6,252,0.23
73,2.09,1.34,180.9479,5731,3287,16.6,10.9,240,0.58
74,2.02,1.3,183.85,5828,3680,19.3,9.53,400,1.74
75,1.97,1.28,186.207,5869,3453,21,8.85,430,0.48
76,1.92,1.26,190.2,5285,3300,22.4,8.49,500,0.88
77,1.87,1.27,192.22,4701,2716,22.5,8.54,420,1.47
78,1.83,1.3,195.08,4100,2045,21.4,9.1,240,0.72
79,1.79,1.34,196.96654,3130,1337.58,19.3,10.2,165,3.17
80,1.76,1.49,200.59,630,234.28,13.53,14.82,71.9,-0.01
81,2.08,1.48,204.3833,1746,577,11.85,17.2,78.5,0.46
82,1.81,1.47,207.2,2023,600.6,11.4,18.17,105,0.35
83,1.63,1.46,208.98037,1837,544.52,9.8,21.3,119,0.08
84,1.53,1.46,209,1235,527,9.4,22.23,-0.01,-0.01
85,1.43,1.45,210,610,575,-0.01,-0.01,-0.01,-0.01
86,1.34,1.43,222,211,202,9.91,50.5,64,-0.01
87,3.5,2.5,223,950,300,-0.01,-0.01,-0.01,-0.01
88,3,2.4,226.025,1809,973,5,45.2,-0.01,-0.01
89,3.2,2.2,227.028,3473,1323,10.07,22.54,-0.01,-0.01
90,3.16,1.65,232.0381,5061,2028,11.7,19.9,163,0.54
91,3.14,-0.01,231.03588,-0.01,-0.01,15.4,15,-0.01,-0.01
92,3.11,1.42,238.0289,4407,1405,18.9,12.59,207,0.28
93,3.08,-0.01,237.048,-0.01,910,20.4,11.62,-0.01,0.06
94,3.05,-0.01,244,3503,913,19.8,12.32,-0.01,0.07
95,3.02,-0.01,243,2880,1268,13.6,17.86,-0.01,-0.01
96,2.99,-0.01,247,-0.01,1340,13.511,18.28,-0.01,-0.01
97,2.97,-0.01,247,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
98,2.95,-0.01,251,-0.01,900,-0.01,-0.01,-0.01,-0.01
99,2.92,-0.01,254,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
100,2.9,-0.01,257,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
101,2.87,-0.01,258,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
102,2.85,-0.01,259,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
103,2.82,-0.01,260,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
